Date,NVDA.O (TRDPRC_1),JPM (TRDPRC_1),GS (TRDPRC_1),AAPL.O (TRDPRC_1),MSFT.O (TRDPRC_1),TSLA.O (TRDPRC_1),META.O (TRDPRC_1),GOOGL.O (TRDPRC_1),BLK (TRDPRC_1),BX (TRDPRC_1),TSM (TRDPRC_1),XAU= (BID),AMZN.O (TRDPRC_1),WMT (TRDPRC_1),COST.O (TRDPRC_1),NKE (TRDPRC_1),PFE (TRDPRC_1),TSN (TRDPRC_1),SPY (TRDPRC_1),F (TRDPRC_1)
,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
20/5/2025,134.38,265.68,606.52,206.86,458.17,343.82,637.1,163.98,997.71,144.2,193.45,3289.0066,204.07,97.8,1036.82,62.56,23.52,56.75,592.85,10.72
19/5/2025,135.57,264.88,612.3,208.78,458.87,342.09,640.43,166.54,993.66,145.45,193.5,3228.9602,206.16,98.12,1034.34,62.08,23,56.05,594.85,10.75
16/5/2025,135.4,267.56,619.03,211.26,454.27,349.98,640.34,166.19,989.71,146.7,194.22,3202.2839,205.59,98.24,1025.83,63.11,22.83,55.94,594.2,10.8
15/5/2025,134.83,267.49,615.9,211.45,453.13,342.82,643.88,163.96,983.08,146.75,194.22,3239.8015,205.17,96.35,1010.47,62.4,22.6,55.65,590.46,10.75
14/5/2025,135.34,265.64,611.6,212.33,452.94,347.68,659.36,165.37,967.06,148.42,194.76,3178.4951,210.25,96.83,991.54,61.73,22.02,54.5,587.59,10.65
13/5/2025,129.93,263.01,603.81,212.93,449.14,334.07,656.03,159.53,959.18,148.6,193.99,3247.4001,211.37,95.88,999.03,62.39,22.87,55.36,586.84,10.6
12/5/2025,123,260.05,591.34,210.79,449.26,318.38,639.43,158.46,958.03,149,186.98,3233.7229,208.64,96.75,1016.15,62.58,23.09,55.99,582.99,10.55
09/5/2025,116.65,253.08,567.1,198.53,438.73,298.26,592.49,152.75,923.44,139.39,176.52,3324.2231,193.06,96.72,1008.09,58.3,22.28,55.3,564.34,10.43
08/5/2025,117.37,253.47,565.7,197.49,438.17,284.82,598.01,154.28,928.64,139.81,175.22,3305.2539,192.08,97.43,1007.71,58.91,22.97,56.34,565.06,10.28
07/5/2025,117.06,249.39,551.92,196.25,433.35,276.22,596.81,151.38,920.36,136.14,174.54,3364.3225,188.71,98.83,1007.15,58.62,22.79,55.18,561.15,10.28
